,title,who,age,when,overview,link,category
0,청소년 관장 모집,"고등학생, 대학생","17살, 18살, 19살, 20살, 21살, 22살, 23살, 24살, 25살, 26살",2023년 1월 30일 ~ 2월 17일,우선순위 : 청소년 참여기구 및 청소년수련관 활동 이력이 2년 이상인 청소년,https://www.yeongam.go.kr/home/youth/act/act_05/yeongam.go,"여가활동, 문화,학업"
1,청소년 참여 기구,"중학생, 고등학생","14살, 15살, 16살, 17살, 18살, 19살","2023년 1월, 2월",활동 내용 청소년참여위원회 : 지역사회 내 청소년 관련 문제를 모니터링하여 해결방안 모색 및 정책 등 제안,https://www.yeongam.go.kr/home/youth/act/autonomy/yeongam.go,"교육, 문화, 학업"
2,교육 참여 수당,"중학생, 고등학생","14살, 15살, 16살, 17살, 18살, 19살","2023년 3월, 4월",교통카드 및 체크카드 적립,https://yeongam.go.kr/home/youth/consult/consult_07/yeongam.go,"교통, 경제, 교육, 생활비, 학업"
3,건강지원,"초등학생, 중학생","8살, 9살, 10살, 11살, 12살, 13살, 14살, 15살, 16살","2023년 5월, 6월",건강검진 3년 주기 대상 학교 밖 청소년,https://yeongam.go.kr/home/youth/consult/consult_07/yeongam.go,건강
4,스마트교실(검정고시 대비반) 수강생 모집,초등학생,"8살, 9살, 10살, 11살, 12살, 13살","2023년 7월, 8월","스마트교실(영어, 수학, 과학)",https://yeongam.go.kr/home/youth/consult/consult_07/yeongam.go,"교육, 학업"
5,청소년상담,고등학생,"17살, 18살, 19살","2023년 9월, 10월","대면, 간편식 서비스 지원",http://ya1388.or.kr/,"상담, 심리"
6,청소년 특별 지원,대학생,"20살, 21살, 22살, 23살, 24살, 25살, 26살","2023년 11월, 12월","고민상담, 심리검사, 전화상담, 부모교육, 자원연계 등",http://ya1388.or.kr/,"상담, 심리, 교육, 경제, 문화"
7,청소년방과후아카데미 강사 모집,"대학생, 직장인","20살, 21살, 22살, 23살, 24살, 25살, 26살, 27살, 28살, 29살, 30살, 31살, 32살, 33살, 34살, 35살","2023년 1월, 2월, 3월, 4월, 5월, 6월",생활/건강/학업/자립/상담/법률/활동/기타,https://www.yeongam.go.kr/home/youth/academy/academy_05/yeongam.go,"생활, 교육, 여가활동, 상담, 교육, 학업"
8,학습멘토링 자원봉사자 모집,"고등학생, 대학생","17살, 18살, 19살, 20살, 21살, 22살, 23살, 24살, 25살, 26살","2023년 7월, 8월, 9월, 10월, 11월, 12월",학습지원/체험활동/생활지원/특별지원,https://www.yeongam.go.kr/home/youth/academy/academy_05/yeongam.go,"교육, 경제적 지원, 여가활동, 생활비,학업"
9,신입생 모집,"초등학생, 중학생","8살, 9살, 10살, 11살, 12살, 13살, 14살, 15살, 16살","2023년 1월, 2월, 3월, 4월, 5월, 6월","1:1 학습멘토(숙제,독서,영어수학보충학습)",https://www.yeongam.go.kr/home/youth/academy/notice/yeongam.go,"교육,학업"
10,급식 및 간편식 지원,"초등학생, 중학생, 고등학생, 대학생","8살, 9살, 10살, 11살, 12살, 13살, 14살, 15살, 16살, 17살, 18살, 19살, 20살, 21살, 22살, 23살, 24살, 25살, 26살","2023년 7월, 8월, 9월, 10월, 11월, 12월","강사신청서는 [영암군청 또는 영암군청소년수련관 홈페이지]에서 다운로드 가능하며, 접수 후 확인전화 필수",https://yeongam.go.kr/home/youth/consult/consult_07/yeongam.go,"급식, 경제적 지원, 생활비"
11,"학기중 토,공휴일 아동급식지원","초등학생, 중학생, 고등학생","8살, 9살, 10살, 11살, 12살, 13살, 14살, 15살, 16살, 17살, 18살, 19살",,결식우려아동들을 대상으로 식비지원금(1식 4500원 연95일)을 지급,http://각 시군구청,"경제, 급식"
12,찾아가는 청년희망버스,"초등학생, 중학생, 고등학생, 대학생","8살, 9살, 10살, 11살, 12살, 13살, 14살, 15살, 16살, 17살, 18살, 19살, 20살, 21살, 22살, 23살, 24살, 25살, 26살",2023년 8월 14일 ~ 8월 25일,"기업과 청년구직자를 대상으로 컨설팅 및 기업탐방, 일자리 정보를 지원",http://job.jeonnam.go.kr,"경제, 급식, 식비"
13,전라남도 여성 농어업인 행복바우처 지원 사업,대학생,"20살, 21살, 22살, 23살, 24살, 25살, 26살",,도내 20세~75세 이하 여성농어업인 9만 5천명을 대상으로 1인당 20만원의 행복바우처를 제공,https://www.jeonnam.go.kr/contentsView.do?menuId=jeonnam0502120000,"경제, 문화,"
